0.0, 1.0, 0.998325
0.0204082, 1.0, 0.998325
0.0408163, 1.0, 0.998325
0.0612245, 1.0, 0.998325
0.0816327, 1.0, 0.994975
0.102041, 1.0, 0.991625
0.122449, 1.0, 0.98995
0.142857, 1.0, 0.984925
0.163265, 1.0, 0.984925
0.183673, 1.0, 0.98325
0.204082, 1.0, 0.981575
0.22449, 1.0, 0.981575
0.244898, 1.0, 0.979899
0.265306, 1.0, 0.979899
0.285714, 1.0, 0.978224
0.306122, 1.0, 0.973199
0.326531, 1.0, 0.949749
0.346939, 1.0, 0.932998
0.367347, 1.0, 0.916248
0.387755, 1.0, 0.899497
0.408163, 0.975, 0.862647
0.428571, 0.975, 0.815745
0.44898, 0.95, 0.767169
0.469388, 0.925, 0.721943
0.489796, 0.925, 0.659966
0.510204, 0.925, 0.621441
0.530612, 0.9, 0.567839
0.55102, 0.875, 0.529313
0.571429, 0.775, 0.477387
0.591837, 0.7, 0.430486
0.612245, 0.65, 0.370184
0.632653, 0.525, 0.321608
0.653061, 0.475, 0.273032
0.673469, 0.4, 0.221106
0.693878, 0.225, 0.18258
0.714286, 0.15, 0.155779
0.734694, 0.125, 0.128978
0.755102, 0.1, 0.100503
0.77551, 0.075, 0.078727
0.795918, 0.075, 0.0653266
0.816327, 0.075, 0.0569514
0.836735, 0.075, 0.0452261
0.857143, 0.075, 0.038526
0.877551, 0.075, 0.0284757
0.897959, 0.075, 0.0251256
0.918367, 0.05, 0.0184255
0.938776, 0.05, 0.0117253
0.959184, 0.05, 0.00335008
0.979592, 0.025, 0.0
1.0, 0.025, 0.0
